"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chris Brooks","GB","RB65","72.7","323.8","1.3","15.4","107.5","0.3","0.6","59.3"
"Darnell Washington","PIT","TE38","0.0","0.0","0.0","30.7","328.1","2.0","0.6","58.6"
"MarShawn Lloyd","GB","RB66","67.2","286.4","2.1","12.1","85.1","0.6","0.3","58.5"
"Pat Bryant","DEN","WR106","0.0","0.0","0.0","28.4","319.6","2.1","0.3","58.3"
"Tyler Higbee","LAR","TE39","0.0","0.0","0.0","26.1","306.5","2.4","0.0","58.1"
"Savion Williams","GB","WR107","9.0","47.0","0.3","23.9","271.5","2.0","0.3","57.0"
"Joshua Palmer","BUF","WR108","0.0","0.0","0.0","25.9","337.7","1.6","0.1","56.3"
"Kimani Vidal","LAC","RB67","62.2","251.0","1.6","11.9","104.3","0.7","0.1","55.1"
"Marvin Mims Jr.","DEN","WR109","8.2","45.1","0.3","24.2","272.4","1.6","0.4","54.7"
"KaVontae Turpin","DAL","WR110","17.7","102.5","0.4","18.2","229.9","1.7","0.4","54.5"
"Olamide Zaccheaus","ATL","WR111","1.5","9.5","0.0","30.1","277.1","1.8","0.1","54.5"
"Luke McCaffrey","WAS","WR112","0.0","0.0","0.0","20.2","289.4","2.6","0.1","54.4"
"Dontayvion Wicks","PHI","WR113","0.0","0.0","0.0","24.3","310.0","1.8","0.3","53.3"
"Cole Kmet","CHI","TE40","0.0","0.0","0.0","25.9","271.4","2.2","0.1","53.3"
"Ja'Tavion Sanders","CAR","TE41","0.0","0.0","0.0","29.7","264.9","2.0","0.1","53.3"
"James Conner","ARI","RB68","42.5","153.5","1.5","18.0","131.5","1.0","0.0","52.5"
"Xavier Hutchinson","HOU","WR114","2.1","14.2","0.0","23.2","280.5","1.9","0.1","52.4"
"Noah Fant","NO","TE42","0.0","0.0","0.0","30.8","285.7","1.7","1.6","50.8"
"Tommy Tremble","CAR","TE43","0.0","0.0","0.0","26.6","254.0","2.0","0.1","50.3"
"Calvin Austin III","NYG","WR115","0.0","0.0","0.0","20.0","268.2","2.2","0.0","50.1"
"DeMario Douglas","NE","WR116","4.1","21.4","0.2","22.7","271.1","1.5","0.3","49.9"
"Elijah Sarratt","BAL","WR117","0.0","0.0","0.0","19.5","294.6","1.8","0.2","49.4"
"Keon Coleman","BUF","WR118","0.0","0.0","0.0","19.4","266.0","2.3","0.2","49.4"
"Jaylin Lane","WAS","WR119","0.0","0.0","0.0","22.7","279.2","1.8","0.2","49.4"
"Nick Westbrook-Ikhine","IND","WR120","0.0","0.0","0.0","21.7","269.6","2.0","0.2","49.3"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.6","251.3","1.9","0.6","48.6"
"Jahdae Walker","CHI","WR121","0.5","3.5","0.0","17.1","225.8","2.7","0.0","47.4"
"Emanuel Wilson","SEA","RB69","69.7","290.0","1.7","7.7","52.1","0.0","0.5","47.4"
"Jaylen Wright","MIA","RB70","79.9","308.0","1.5","7.2","52.5","0.1","1.2","47.0"
"Elijah Arroyo","SEA","TE45","0.0","0.0","0.0","23.6","240.1","1.9","0.2","46.6"
"Erick All Jr.","CIN","TE46","0.0","0.0","0.0","26.6","228.9","1.6","0.1","45.8"
"Charlie Kolar","LAC","TE47","0.0","0.0","0.0","20.2","230.0","2.0","0.1","45.3"
"Jawhar Jordan","HOU","RB71","51.3","219.0","1.1","11.0","86.5","0.5","0.5","44.8"
"Austin Hooper","ATL","TE48","0.0","0.0","0.0","22.5","236.3","1.6","0.1","44.4"
"Demarcus Robinson","SF","WR122","0.5","2.5","0.0","17.6","252.5","1.6","0.0","44.0"
"Cedric Tillman","CLE","WR123","0.0","-0.5","0.0","18.0","224.1","2.1","0.0","43.9"
"Tutu Atwell","MIA","WR124","2.2","11.3","0.1","20.4","291.7","0.5","0.2","43.2"
"Kyle Juszczyk","SF","RB72","4.2","10.3","0.1","23.7","209.2","1.5","0.1","43.0"
"Josh Oliver","MIN","TE49","0.0","0.0","0.0","18.6","193.9","2.4","0.1","42.8"
"Eli Stowers","PHI","TE50","0.0","0.0","0.0","22.7","232.5","1.5","0.6","42.5"
"Daniel Bellinger","TEN","TE51","0.0","0.0","0.0","19.3","222.3","1.7","0.0","42.3"
"Jaydon Blue","DAL","RB73","48.7","205.0","1.5","8.8","61.8","0.4","0.2","42.1"
"Brock Wright","DET","TE52","0.0","0.0","0.0","19.9","175.2","2.3","0.0","41.3"
"Kevin Coleman Jr.","MIA","WR125","0.0","0.0","0.0","21.1","270.5","0.7","0.2","41.2"
"Noah Gray","KC","TE53","0.0","0.0","0.0","21.0","211.2","1.5","0.1","40.3"
"Luke Musgrave","GB","TE54","0.0","0.0","0.0","21.7","211.6","1.2","0.0","39.0"
"Kendrick Bourne","ARI","WR126","0.0","0.0","0.0","22.8","239.4","0.7","0.2","38.9"
"Jake Tonges","SF","TE55","0.0","0.0","0.0","19.1","200.0","1.5","0.1","38.5"
"Isaiah Davis","NYJ","RB74","35.1","174.6","1.2","9.9","78.2","0.2","0.1","38.3"
"Adam Trautman","DEN","TE56","0.0","0.0","0.0","19.4","194.0","1.5","0.0","37.9"
"Eli Raridon","NE","TE57","0.0","0.0","0.0","18.8","195.8","1.5","0.6","37.1"
"George Holani","SEA","RB75","38.9","164.2","1.5","8.0","62.2","0.3","0.2","37.1"
"Kalif Raymond","CHI","WR127","4.6","27.2","0.2","19.2","187.0","0.9","0.2","36.9"
"Cyrus Allen","KC","WR128","0.0","0.0","0.0","16.2","202.8","1.3","0.2","35.6"
"Davis Allen","LAR","TE58","0.0","0.0","0.0","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","TE59","0.0","0.0","0.0","19.5","184.7","1.2","0.0","35.2"
"Skyler Bell","BUF","WR129","0.0","0.0","0.0","15.1","205.5","1.2","0.2","35.0"
"LeQuint Allen Jr.","JAC","RB76","8.0","33.9","0.2","21.7","148.0","0.8","0.1","34.9"
"Marlin Klein","HOU","TE60","0.0","0.0","0.0","19.5","193.6","1.1","0.5","34.7"
"Elijah Higgins","ARI","TE61","0.0","0.0","0.0","22.0","196.1","0.8","0.6","34.5"
"Sean Tucker","TB","RB77","38.8","163.8","2.7","1.5","10.2","0.0","0.1","34.4"
"John Bates","WAS","TE62","0.0","0.0","0.0","17.9","172.8","1.5","0.6","34.3"
"Bryce Lance","NO","WR130","0.0","0.0","0.0","16.4","204.4","0.9","0.2","33.9"
"Jordan Whittington","LAR","WR131","2.3","12.1","0.1","15.0","171.9","1.2","0.2","33.6"
